source,sector,unit,scenario_geography,scenario,2010,2022,2030,2050
WEO2023,IEA crude oil,usd/barrel,Global,STEPS,103,98,85,83
WEO2023,Natural gas,usd/Mbtu,United States,STEPS,5.8,5.1,4,4.3
WEO2023,Natural gas,usd/Mbtu,European Union,STEPS,9.9,32.3,6.9,7.1
WEO2023,Natural gas,usd/Mbtu,China,STEPS,8.8,13.7,8.4,7.7
WEO2023,Natural gas,usd/Mbtu,Japan,STEPS,14.6,15.9,9.4,7.8
WEO2023,Coal,usd/tonne,United States,STEPS,67,53,46,41
WEO2023,Coal,usd/tonne,European Union,STEPS,122,290,67,69
WEO2023,Coal,usd/tonne,Japan,STEPS,142,336,98,77
WEO2023,Coal,usd/tonne,Coastal China,STEPS,153,205,96,80
WEO2023,IEA crude oil,usd/barrel,Global,APS,103,98,74,60
WEO2023,Natural gas,usd/Mbtu,United States,APS,5.8,5.1,3.2,2.2
WEO2023,Natural gas,usd/Mbtu,European Union,APS,9.9,32.3,6.5,5.4
WEO2023,Natural gas,usd/Mbtu,China,APS,8.8,13.7,7.8,6.3
WEO2023,Natural gas,usd/Mbtu,Japan,APS,14.6,15.9,8.3,6.3
WEO2023,Coal,usd/tonne,United States,APS,67,53,43,26
WEO2023,Coal,usd/tonne,European Union,APS,122,290,68,53
WEO2023,Coal,usd/tonne,Japan,APS,142,336,80,59
WEO2023,Coal,usd/tonne,Coastal China,APS,153,205,79,62
WEO2023,IEA crude oil,usd/barrel,Global,NZE_2050,103,98,42,25
WEO2023,Natural gas,usd/Mbtu,United States,NZE_2050,5.8,5.1,2.4,2
WEO2023,Natural gas,usd/Mbtu,European Union,NZE_2050,9.9,32.3,4.3,4.1
WEO2023,Natural gas,usd/Mbtu,China,NZE_2050,8.8,13.7,5.9,5.3
WEO2023,Natural gas,usd/Mbtu,Japan,NZE_2050,14.6,15.9,5.5,5.3
WEO2023,Coal,usd/tonne,United States,NZE_2050,67,53,27,23
WEO2023,Coal,usd/tonne,European Union,NZE_2050,122,290,57,43
WEO2023,Coal,usd/tonne,Japan,NZE_2050,142,336,65,47
WEO2023,Coal,usd/tonne,Coastal China,NZE_2050,153,205,64,49